e1/do,e2/do,p1/do,p2/do,Nr,fu/fy,Fmax/fundt
1.5,7.5,2.2,0.0,4,1.26,1.89
2.0,7.5,2.2,0.0,4,1.25,2.01
2.5,7.5,2.2,0.0,4,1.26,2.19
4.0,1.0,2.2,0.0,4,1.30,0.61
4.0,1.2,2.2,2.8,3,1.30,0.47
4.0,2.0,2.2,2.8,3,1.34,0.74
4.0,2.5,2.2,2.8,3,1.34,0.90
4.0,1.0,2.2,2.8,3,1.30,0.67
4.0,1.3,2.2,4.5,3,1.34,0.77
4.0,2.0,2.2,4.5,3,1.30,1.01
4.0,2.5,2.2,4.5,3,1.30,1.16
4.0,1.0,2.2,4.5,3,1.30,0.82
4.0,1.3,2.2,5.7,3,1.34,0.92
4.0,2.0,2.2,5.7,3,1.30,1.20
4.0,2.5,2.2,5.6,3,1.30,1.35
1.5,5.7,2.2,5.7,3,1.32,1.93
1.5,3.8,2.2,8.4,3,1.32,1.92
2.2,3.7,2.2,8.4,3,1.32,2.11
2.5,2.5,2.2,8.4,3,1.26,1.73
2.0,1.0,2.2,2.8,3,1.26,0.45
2.0,1.5,2.2,2.8,3,1.25,0.56
2.0,2.0,2.2,2.8,3,1.26,0.67
2.0,3.0,2.2,2.8,3,1.26,0.87
2.6,1.5,2.2,4.5,3,1.26,0.93
1.5,1.5,2.2,4.5,2,1.27,1.49
2.0,1.0,2.2,2.8,3,1.25,0.47
2.0,1.5,2.2,2.8,3,1.25,0.54
2.0,2.0,2.2,2.8,3,1.26,0.64
2.0,3.0,2.2,2.8,3,1.26,0.77
4.1,4.0,2.2,2.8,3,1.27,0.93
1.5,1.5,2.2,4.5,3,1.26,0.97
